"","subject","action","acceleration_measurements","mean_value"
"1","2","WALKING","meanAccelerationXaxis",0.276426586440678
"2","4","WALKING","meanAccelerationXaxis",0.278582015166667
"3","9","WALKING","meanAccelerationXaxis",0.278502842115385
"4","10","WALKING","meanAccelerationXaxis",0.278574076603774
"5","12","WALKING","meanAccelerationXaxis",0.2771286656
"6","13","WALKING","meanAccelerationXaxis",0.275883130350877
"7","18","WALKING","meanAccelerationXaxis",0.273887758571429
"8","20","WALKING","meanAccelerationXaxis",0.272589336470588
"9","24","WALKING","meanAccelerationXaxis",0.276980816034483
"10","1","WALKING","meanAccelerationXaxis",0.277330758736842
"11","3","WALKING","meanAccelerationXaxis",0.275567462068966
"12","5","WALKING","meanAccelerationXaxis",0.27784234625
"13","6","WALKING","meanAccelerationXaxis",0.283658868070175
"14","7","WALKING","meanAccelerationXaxis",0.275592961754386
"15","8","WALKING","meanAccelerationXaxis",0.27468631
"16","11","WALKING","meanAccelerationXaxis",0.271821892881356
"17","14","WALKING","meanAccelerationXaxis",0.271959598644068
"18","15","WALKING","meanAccelerationXaxis",0.273899207962963
"19","16","WALKING","meanAccelerationXaxis",0.276023564509804
"20","17","WALKING","meanAccelerationXaxis",0.272341855245902
"21","19","WALKING","meanAccelerationXaxis",0.273931172307692
"22","21","WALKING","meanAccelerationXaxis",0.279183526730769
"23","22","WALKING","meanAccelerationXaxis",0.27886459
"24","23","WALKING","meanAccelerationXaxis",0.273211884237288
"25","25","WALKING","meanAccelerationXaxis",0.278992759054054
"26","26","WALKING","meanAccelerationXaxis",0.279264443728814
"27","27","WALKING","meanAccelerationXaxis",0.276849485438596
"28","28","WALKING","meanAccelerationXaxis",0.281228223888889
"29","29","WALKING","meanAccelerationXaxis",0.271999916792453
"30","30","WALKING","meanAccelerationXaxis",0.276406758
"31","2","WALKING_UPSTAIRS","meanAccelerationXaxis",0.247164790395833
"32","4","WALKING_UPSTAIRS","meanAccelerationXaxis",0.270876696730769
"33","9","WALKING_UPSTAIRS","meanAccelerationXaxis",0.262436475714286
"34","10","WALKING_UPSTAIRS","meanAccelerationXaxis",0.267121853404255
"35","12","WALKING_UPSTAIRS","meanAccelerationXaxis",0.272970338653846
"36","13","WALKING_UPSTAIRS","meanAccelerationXaxis",0.258203939581818
"37","18","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265401201896552
"38","20","WALKING_UPSTAIRS","meanAccelerationXaxis",0.252098317156863
"39","24","WALKING_UPSTAIRS","meanAccelerationXaxis",0.269881106779661
"40","1","WALKING_UPSTAIRS","meanAccelerationXaxis",0.255461689622641
"41","3","WALKING_UPSTAIRS","meanAccelerationXaxis",0.260819873067797
"42","5","WALKING_UPSTAIRS","meanAccelerationXaxis",0.268459469914894
"43","6","WALKING_UPSTAIRS","meanAccelerationXaxis",0.268229355098039
"44","7","WALKING_UPSTAIRS","meanAccelerationXaxis",0.248706923078431
"45","8","WALKING_UPSTAIRS","meanAccelerationXaxis",0.258880152048781
"46","11","WALKING_UPSTAIRS","meanAccelerationXaxis",0.263775859277778
"47","14","WALKING_UPSTAIRS","meanAccelerationXaxis",0.26242106612963
"48","15","WALKING_UPSTAIRS","meanAccelerationXaxis",0.270187595833333
"49","16","WALKING_UPSTAIRS","meanAccelerationXaxis",0.255986102627451
"50","17","WALKING_UPSTAIRS","meanAccelerationXaxis",0.252604768583333
"51","19","WALKING_UPSTAIRS","meanAccelerationXaxis",0.242118808925
"52","21","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265194544680851
"53","22","WALKING_UPSTAIRS","meanAccelerationXaxis",0.248391534566667
"54","23","WALKING_UPSTAIRS","meanAccelerationXaxis",0.249995171031373
"55","25","WALKING_UPSTAIRS","meanAccelerationXaxis",0.277995411384615
"56","26","WALKING_UPSTAIRS","meanAccelerationXaxis",0.272691394545455
"57","27","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265770253921569
"58","28","WALKING_UPSTAIRS","meanAccelerationXaxis",0.262005841764706
"59","29","WALKING_UPSTAIRS","meanAccelerationXaxis",0.265423066877551
"60","30","WALKING_UPSTAIRS","meanAccelerationXaxis",0.271415642261538
"61","2","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.27761534806383
"62","4","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.279965329555556
"63","9","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.295923445
"64","10","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.290401594315789
"65","12","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.281521097391304
"66","13","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.294907553404255
"67","18","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.288439468909091
"68","20","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.296144421355556
"69","24","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.288631208909091
"70","1","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.289188320408163
"71","3","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.292423484693878
"72","5","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.29354392712766
"73","6","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.277045258145833
"74","7","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.28030708
"75","8","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.283484089210526
"76","11","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.291605631956522
"77","14","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.293422115555556
"78","15","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.280198851190476
"79","16","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.295586802191489
"80","17","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.29391828326087
"81","19","WALKING_DOWNSTAIRS","meanAccelerationXaxis",0.262688053871795
